date,open,high,low,close,volume,name
03-09-2019,1562.8,1583.9,1561.2,1589.1,0.24K,XAUUSD
04-09-2019,1582.7,1590.7,1572,1593.3,0.03K,XAUUSD
05-09-2019,1579.5,1584.1,1544.9,1558.8,0.10K,XAUUSD
06-09-2019,1551,1559.9,1539.2,1549.2,0.06K,XAUUSD
09-09-2019,1540.1,1546.6,1534.1,1545.5,0.24K,XAUUSD
10-09-2019,1531.9,1532.6,1524.9,1534,0.16K,XAUUSD
11-09-2019,1528.8,1534.4,1528.8,1538.3,0.04K,XAUUSD
12-09-2019,1530.4,1558.6,1530.4,1544.1,0.41K,XAUUSD
13-09-2019,1543.4,1543.4,1525.6,1537.3,0.18K,XAUUSD
16-09-2019,1542.6,1546.5,1536.4,1549.1,0.69K,XAUUSD
17-09-2019,1538.8,1542.3,1538.8,1550.9,0.01K,XAUUSD
18-09-2019,1538.9,1549,1530.4,1552.9,0.50K,XAUUSD
19-09-2019,1528.8,1540.4,1528.8,1543.2,0.16K,XAUUSD
20-09-2019,1537.8,1553.5,1537.8,1552.6,0.10K,XAUUSD
23-09-2019,1556.6,1562.5,1556.6,1568.9,0.02K,XAUUSD
24-09-2019,1560.1,1573,1554.9,1577.4,0.51K,XAUUSD
25-09-2019,1572,1572,1539.1,1549.3,0.25K,XAUUSD
26-09-2019,1538.9,1547,1538,1552.3,0.25K,XAUUSD
27-09-2019,1538.3,1538.3,1525.7,1548.3,0.17K,XAUUSD
30-09-2019,1533,1533,1500.1,1514.5,0.51K,XAUUSD
01-10-2019,1502.6,1520,1499,1530.2,0.00K,XAUUSD
02-10-2019,1512.8,1536.3,1509.9,1549,0.00K,XAUUSD
03-10-2019,1536.8,1551.8,1535.2,1552.5,0.00K,XAUUSD
04-10-2019,1541.3,1541.3,1530.2,1551.9,0.07K,XAUUSD
07-10-2019,1538.9,1538.9,1522.2,1543.7,0.16K,XAUUSD
08-10-2019,1524.2,1540,1522.6,1543.1,0.43K,XAUUSD
09-10-2019,1539.7,1543,1535,1552.3,0.43K,XAUUSD
10-10-2019,1548,1548,1526,1540.9,0.13K,XAUUSD
11-10-2019,1533.7,1534.6,1508,1529.8,1.04K,XAUUSD
14-10-2019,1529,1530,1524.4,1539.1,0.03K,XAUUSD
15-10-2019,1522.9,1524.5,1513,1525.1,0.23K,XAUUSD
16-10-2019,1515.5,1522.2,1510,1535.4,0.20K,XAUUSD
17-10-2019,1519.9,1527.6,1519.9,1539.8,0.21K,XAUUSD
18-10-2019,1526.1,1526.1,1519.5,1535,0.16K,XAUUSD
21-10-2019,1524.9,1524.9,1515,1529.3,0.11K,XAUUSD
22-10-2019,1517.3,1519,1515,1528.8,0.01K,XAUUSD
23-10-2019,1522,1526.1,1522,1537.1,0.03K,XAUUSD
24-10-2019,1524.3,1534.7,1522,1546.2,0.28K,XAUUSD
25-10-2019,1548.8,1556.7,1548.8,1547.7,0.00K,XAUUSD
28-10-2019,1552,1552,1552,1538.7,0.00K,XAUUSD
29-10-2019,1524.2,1524.2,1515.5,1533.5,0.22K,XAUUSD
30-10-2019,1520.8,1526.5,1513.2,1539.4,1.90K,XAUUSD
31-10-2019,1527,1545,1527,1556.9,0.17K,XAUUSD
01-11-2019,1542.1,1545,1538,1554.4,0.20K,XAUUSD
04-11-2019,1544.8,1544.8,1541,1554.8,0.83K,XAUUSD
05-11-2019,1522.8,1522.8,1522.8,1528,0.00K,XAUUSD
06-11-2019,1534.7,1534.7,1534.7,1537.4,0.00K,XAUUSD
07-11-2019,1510,1510,1510,1511.7,0.00K,XAUUSD
08-11-2019,1500.5,1503,1488.8,1510.4,0.35K,XAUUSD
11-11-2019,1494,1494,1480.1,1502.3,0.73K,XAUUSD
12-11-2019,1487.8,1488.5,1480,1498.6,0.93K,XAUUSD
13-11-2019,1489.9,1498.1,1489.9,1508.5,0.74K,XAUUSD
14-11-2019,1495.1,1504.7,1494.8,1518.5,0.84K,XAUUSD
15-11-2019,1496.3,1499.9,1495.9,1513.6,0.07K,XAUUSD
18-11-2019,1498.4,1502.8,1488.8,1516.9,0.82K,XAUUSD
19-11-2019,1511.5,1511.5,1511.5,1519.2,0.00K,XAUUSD
20-11-2019,1505.5,1509.2,1498,1518.1,0.69K,XAUUSD
21-11-2019,1505.5,1505.7,1494,1507.6,0.49K,XAUUSD
22-11-2019,1497.7,1502.3,1492,1508,0.70K,XAUUSD
25-11-2019,1490.9,1492,1485.2,1501.8,0.94K,XAUUSD
26-11-2019,1484.3,1492,1481,1504.7,0.31K,XAUUSD
27-11-2019,1489.2,1490.2,1483.9,1498.5,0.22K,XAUUSD
28-11-2019,1463.25,1464.55,1460.75,1462.25,-,XAUUSD
29-11-2019,1488,1495.4,1484.2,1510.7,0.19K,XAUUSD
02-12-2019,1494,1495.3,1485,1507.3,0.17K,XAUUSD
03-12-2019,1491.1,1510.3,1491.1,1522.8,0.45K,XAUUSD
04-12-2019,1515.9,1515.9,1515.9,1518.7,0.00K,XAUUSD
